,country,description,points,price,province,taster_name,taster_twitter_handle,title,variety,winery
84132,Portugal,"This is a fruity but also structured blend of Cabernet Sauvignon, Alicante Bouschet and Touriga Nacional. It's full of red fruit, dusty tannins with a dry core and balancing acidity. Drink until 2020.",87,10.0,Lisboa,Roger Voss,@vossroger,Companhia das Quintas 2011 Pancas Red (Lisboa),Portuguese Red,Companhia das Quintas
84133,Portugal,"This is a rich wine, smoky with vanilla and apple flavors. It has some good intensity, as well as a textured character that gives it some aging potential. Bright, fresh acidity cuts through the riper fruits. Drink now and until 2019.",87,9.0,Lisboa,Roger Voss,@vossroger,DFJ Vinhos 2012 Segada Branco White (Lisboa),Portuguese White,DFJ Vinhos
84136,Italy,"This shows dark berry aromas with hints of toast and sandalwood. The palate delivers black fruits layered with licorice, spice and espresso, but it's a bit shy on length.",87,14.0,Tuscany,Kerin O’Keefe,@kerinokeefe,Fattoria di Grignano 2009 Grignano  (Chianti Rufina),Red Blend,Fattoria di Grignano
84144,France,"This is a beautifully fruity wine with great acidity and citrus flavors contrasting with ripe apple and melon fruitiness. The wine is cool, crisp, full of juicy acidity, and ready to drink now.",89,26.0,Loire Valley,Roger Voss,@vossroger,Les Frères Couillaud 2014 Château de la Ragotière Vallet  (Muscadet Sèvre et Maine),Melon,Les Frères Couillaud
84145,France,"From a single parcel of old vines, this melon and kiwi-flavored wine has both a round texture and a line of crisp acidity. It is full of ripe fruit, concentrated and brimming with tangy orange acidity at the end. Drink this rich wine from 2018.",89,25.0,Loire Valley,Roger Voss,@vossroger,Saget la Perrière 2016 Domaine des Grandes Esperances Le Roi Soleil Sauvignon Blanc (Touraine),Sauvignon Blanc,Saget la Perrière
84153,US,"This tasty, well-balanced wine is oaky in style, with lightly smoky and buttery nuances and generous apple and lemon flavors. It's medium bodied and smooth but lively in texture and has a light, buttery finish.",89,15.0,California,Jim Gordon,@gordone_cellars,Emerald Hare 2015 Chardonnay (California),Chardonnay,Emerald Hare
84154,France,"The wine has a lively mousse, crispened with acidity and filled with fruit. It is an attractive blend of all three Champagne grapes, floral in character and with a fine tang of citrus as well as ripe pears. Drink now.",89,43.0,Champagne,Roger Voss,@vossroger,Faniel et Fils NV Oriane Brut  (Champagne),Champagne Blend,Faniel et Fils
84156,France,"Pinot Noir thrives in the Aube region giving rich wines like this. It has a yeasty aroma which follows through to the ripe fruity palate. The wine is warm, while still crisp and tangy. This bottling is ready to drink.",89,53.0,Champagne,Roger Voss,@vossroger,Jean Laurent NV Blanc de Noirs Brut Pinot Noir (Champagne),Pinot Noir,Jean Laurent
84163,Italy,"Lemon blossom, citrus and white stone fruit aromas delicately lift out of the glass. The bright polished palate doles out yellow apple, creamy white peach, nectarine drop and a hint of crushed herb alongside crisp acidity and a silky mousse.",89,15.0,Veneto,Kerin O’Keefe,@kerinokeefe,Loredan Gasparini NV Brut  (Asolo Prosecco Superiore),Glera,Loredan Gasparini
84169,France,Subtle strawberry and red-apple notes create a fruit opening on the nose. The frothy palate accentuates both fruit and inherent freshness with its lively fizz. An autolytic touch of yeast joins in on the dry refreshing finish.,89,23.0,Alsace,Anne Krebiehl MW,@AnneInVino,Pierre Sparr NV Brut Rosé Sparkling (Crémant d'Alsace),Sparkling Blend,Pierre Sparr
84434,Italy,"Made from a blend of Sangiovese, Colorino, Canaiolo and Ciliegiolo, this vibrant Rosso has sensations of black plum, ripe sour cherry, baking spices and Mediterranean herbs. The palate delivers brisk acidity and lithe tannins. Enjoy it soon with substantial first courses like pasta topped with meat sauce or four-cheese gnocchi.",87,18.0,Tuscany,Kerin O’Keefe,@kerinokeefe,Le Bertille 2012  Rosso di Montepulciano,Red Blend,Le Bertille
84436,US,"A blend of Merlot, Sangiovese and Cabernet Sauvignon, this is indeed a sturdy red table wine. The tannins are dense and chewy, the fruit submerged beneath barrel flavors of toast, caramel and nougat. It spent 20 months in 50% new French oak.",87,32.0,Washington,Paul Gregutt,@paulgwine ,Maryhill 2011 Proprietor's Reserve Tavola Rosso Red (Columbia Valley (WA)),Red Blend,Maryhill
84437,US,"Forward and lightly spicy, this is a good, all-purpose white wine, with bright flavors of apple and pear. It's not a big wine in any way, but perfectly quaffable and right for a wide variety of noodle dishes.",87,12.0,Washington,Paul Gregutt,@paulgwine ,Maryhill 2013 Pinot Gris (Columbia Valley (WA)),Pinot Gris,Maryhill
84438,US,"This comes from a mountain-high vineyard atop a relatively new Sonoma County AVA that straddles into Mendocino County, too. Savory and herbal, the 100% Cab offers dark sour cherry and blackberry and plenty of tannin.",87,28.0,California,Virginie Boone,@vboone,Miro 2011 Silverwood Vineyard Cabernet Sauvignon (Pine Mountain-Cloverdale Peak),Cabernet Sauvignon,Miro
84439,Chile,"This is fresh, with good pungency and a mix of passion fruit and bell pepper aromas. A scouring mouthfeel pulls no punches, while grassy, slightly bitter flavors of arugula and lemon-lime finish citrusy and tangy.",87,13.0,Casablanca Valley,Michael Schachner,@wineschach,Montes 2013 Classic Series Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Montes
84440,US,Very juicy aromas of blueberry pie with a buttered crust and vanilla ice cream bring great promise to this Malbec. It carries through with a very round and broad mouthfeel and rich plum flavors with cracked black pepper. The tannins are a tad astringent.,87,30.0,California,Matt Kettmann,@mattkettmann,Opaque 2010 Malbec (Paso Robles),Malbec,Opaque
84441,Italy,"Rose, violet, black raspberry, wild cherry and espresso aromas lead the nose. The juicy fruit palate is accented with notes of sweet cake spices and supported by lithe tannins. Enjoy soon.",87,20.0,Tuscany,Kerin O’Keefe,@kerinokeefe,Palazzo Vecchio 2013 Dogana  (Rosso di Montepulciano),Red Blend,Palazzo Vecchio
84442,US,"Plump tannins and ripe black cherry mark this wine, the structure and savory components also standing out. The finish carries a suggestion of cinnamon spice.",87,40.0,California,Virginie Boone,@vboone,Peter Paul Wines 2011 Trenton Road Pinot Noir (Russian River Valley),Pinot Noir,Peter Paul Wines
84443,Italy,"Rose, violet and vanilla aromas lead the nose on this straightforward Nebbiolo. The friendly palate doles out crushed black cherry accented with milk chocolate. It's round and ready so enjoy now.",87,18.0,Piedmont,Kerin O’Keefe,@kerinokeefe,Rocca Felice 2012  Nebbiolo d'Alba,Nebbiolo,Rocca Felice
84444,Chile,"Plum and raspberry aromas are fresh, clean and simple. This is a solid, full-bodied Cabernet with currant and plum flavors accented by notes of herbs and spices. A minty, lightly herbal finish feels fresh and healthy.",87,10.0,Maipo Valley,Michael Schachner,@wineschach,Santa Ema 2012 Select Terroir Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Santa Ema
84448,France,"This medium-bodied blend of Grenache, Syrah and Mourvèdre shows off delicate floral and herbal notes laced over a core of raspberry compote. It's slightly creamy in texture, showing supple tannins on the finish, where it picks up a hint of bay leaf. Ready to drink now.",87,11.0,Rhône Valley,Joe Czerwinski,@JoeCz,Château de Nages 2012 Buti Nages Red (Costières de Nîmes),Rhône-style Red Blend,Château de Nages
84449,France,"A plump, charming white intended for early consumption, this blend of 60% Grenache Blanc and 40% Roussanne exhibits straightforward orchard and citrus fruit flavors. Cheery aromas of pineapple, white peach and almond lead the way in this bold, flavorful quaffer.",87,11.0,Rhône Valley,Joe Czerwinski,@JoeCz,Château de Nages 2013 Buti Nages White (Costières de Nîmes),Rhône-style White Blend,Château de Nages
84450,France,"Ripe and full of fruit, the wine also has a firmer tannic structure that gives concentration. The rich cherry and red plum fruits show strongly through the drier core, adding their rounded feel and contrasting with the acidity that comes through at the end.",87,18.0,Beaujolais,Roger Voss,@vossroger,Château de Pizay 2013 Château de Saint Lager  (Brouilly),Gamay,Château de Pizay
84461,US,"One would like to see more aromatics, considering the variety, but it remains enjoyable with a lightly spritzy palate with off-dry red-apple and stone-fruit flavors. A straightforward, easy drinker.",87,16.0,Washington,Sean P. Sullivan,@wawinereport,Alexandria Nicole 2012 Destiny Ridge Vineyard Riesling (Horse Heaven Hills),Riesling,Alexandria Nicole
84488,France,"Very herbal, this wine is all tangy acidity and spice. It shows strong Sauvignon flavors and texture with a fresh background to all this richness. Drink from 2018. The property is owned by Bordeaux Sciences Agro school, which uses the 55-acre vineyard for training and experiments.",90,45.0,Bordeaux,Roger Voss,@vossroger,Château Luchey-Halde 2013  Pessac-Léognan,Bordeaux-style White Blend,Château Luchey-Halde
84509,France,"The wine is rounded and rich, balancing some signs of mature toastiness with ripe white fruits and citrus. A tight, citrus character gives a tense structure, mineral and chalky. Typical of Paillard's wines, the bubbles of the mousse are tiny, the result of lower pressure in the bottle.",91,68.0,Champagne,Roger Voss,@vossroger,Bruno Paillard NV Blanc de Blancs Réserve Privée Brut Chardonnay (Champagne),Chardonnay,Bruno Paillard
84544,France,"In the rush for white wines, it is sometimes forgotten that Chassagne-Montrachet once produced more red than white. This soft perfumed wine shows the generous nature of the wines from this appellation with red-cherry flavors coming from the Pinot Noir. Rich, soft and fruity, the wine will be ready from 2018.",88,14.0,Burgundy,Roger Voss,@vossroger,Florent Descombe 2014  Chassagne-Montrachet,Pinot Noir,Florent Descombe
84551,Italy,"This svelte Barbaresco delivers aromas and flavors of bright red cherry, crunchy strawberry, licorice and white pepper. Nervous acidity and assertive tannins provide the backbone.",89,34.0,Piedmont,Kerin O’Keefe,@kerinokeefe,Produttori del Barbaresco 2011  Barbaresco,Nebbiolo,Produttori del Barbaresco
84865,Chile,"Ripe aromas of black cherry and blackberry come with hints of leafy herbs and a shot of alcohol. This four-grape blend is well structured but a touch tannic. Flavors of baked black fruits, herbs and olives finish savory, with plenty of unabsorbed oak.",88,15.0,Colchagua Valley,Michael Schachner,@wineschach,MontGras 2013 Quatro Red (Colchagua Valley),Red Blend,MontGras
84866,Italy,"Aromas highlight violet, iris, incense and espresso. The lively palate doles out sour cherry, mocha and coffee alongside smooth, rounded tannins.",88,28.0,Piedmont,Kerin O’Keefe,@kerinokeefe,Pelassa 2012 Sot  (Nebbiolo d'Alba),Nebbiolo,Pelassa
84868,US,"The Napa-Sonoma winery, straddled across two counties, has added 12% Cabernet Sauvignon to the Cab Franc in this wine. The result is sizable in ripe, blueberry and blackberry fruit, soft tannins and a finish of dark chocolate. Void of any of the variety's signature herbaceous signature, it could easily be mistaken for Cabernet Sauvignon.",88,65.0,California,Virginie Boone,@vboone,Pride Mountain 2011 Cabernet Franc (Sonoma County),Cabernet Franc,Pride Mountain
84869,US,Rich aromas like Anjou pears and rose petals combine with generous ripe pear and vanilla flavors. It feels full-bodied but is light in alcohol and has a soothing texture. Good acidity balances the ripeness and the finish lingers.,88,14.0,California,Jim Gordon,@gordone_cellars,Rock Wall 2012 Rock Hound White (California),White Blend,Rock Wall
84870,US,"A proprietary blend of Zinfandel and Malbec, with smaller parts Merlot, Petite Sirah, Cabernet Sauvignon and Syrah, Heritage is powerful and soft. It's awash in blueberry, red plum and vanilla, all verging on superripe, the finish particularly intense.",88,30.0,California,Virginie Boone,@vboone,Roth 2011 Heritage Red (Sonoma County),Red Blend,Roth
84871,Chile,"Leathery red berry aromas move to dark fruit after sitting in the glass. This Malbec is jammy in feel, but overall it's fresh. Earthy flavors of spiced plum, baked berry and salt finish toasty, woody and briny.",88,22.0,Rapel Valley,Michael Schachner,@wineschach,Santa Carolina 2011 Reserva de Familia Malbec (Rapel Valley),Malbec,Santa Carolina
84872,US,"Sweet aromas of white peach entice one into this lively wine, a profile that carries through to the delicate palate. A refreshing apéritif that finishes dry, the wine is light in alcohol and body.",88,25.0,California,Virginie Boone,@vboone,St. Supéry 2013 Estate Grown Moscato (Napa Valley),Moscato,St. Supéry
84876,France,"Totally herbaceous and crisp, this is a rich, citrus-flavored wine. Grapefruit flavors dominate with a twist of lemon on top, giving a zesty texture that shows a young wine. For it to calm down and broaden out, wait until the end of 2015.",88,14.0,Bordeaux,Roger Voss,@vossroger,Château Bertinerie 2013 Grande Cuvée  (Blaye Côtes de Bordeaux),Sauvignon Blanc,Château Bertinerie
84877,France,"The wine is full and ripe, generous both in its black fruits and its tannins. It's rich, juicy and packed with berry fruits, a touch of wood and a mineral texture showing at the end. Drink from 2016.",88,12.0,Bordeaux,Roger Voss,@vossroger,Château de Bordes-Quancard 2011  Bordeaux,Bordeaux-style Red Blend,Château de Bordes-Quancard
84878,France,"While the wine certainly has structure, its main character, from the dominant Merlot, is the juicy, stalky fruit and jammy, ripe black plums. It does have an edge of bitter chocolate and a layer of wood. When that softens, it will be a ripe, broad wine. Drink from 2017.",88,30.0,Bordeaux,Roger Voss,@vossroger,Château de Roquebrune 2011 Cuvée Reine  (Lalande de Pomerol),Bordeaux-style Red Blend,Château de Roquebrune
84879,France,"Firm and stalky, this wine has intense black currant fruitiness. A dry tannic core is balanced by the fresh fruits and acidity. It's almost too fruity at the moment and needs to soften, so wait until 2016.",88,12.0,Bordeaux,Roger Voss,@vossroger,Château La Mothe du Barry 2012  Bordeaux Supérieur,Bordeaux-style Red Blend,Château La Mothe du Barry
84971,Chile,"Toasty, inviting aromas of apple and melon lead to a balanced palate with layered flavors of resiny oak, pear and peach. The finish continues with resin and oak, but by then it has already established itself as a well-balanced wine, with tasty flavors of white and tropical fruit.",88,16.0,Maipo Valley,Michael Schachner,@wineschach,Undurraga 2010 Sibaris Reserva Especial Chardonnay (Maipo Valley),Chardonnay,Undurraga
85046,New Zealand,"This wine's cranberry and raspberry fruit is framed by scents of smoky, toasty oak. It's light in body, with a tart, tangy finish. Try it with seafood dishes that can handle a light red, like grilled or broiled salmon.",86,23.0,Wairau Valley,Joe Czerwinski,@JoeCz,Wither Hills 2011 Pinot Noir (Wairau Valley),Pinot Noir,Wither Hills
85188,US,"Succulent in red cherry and cassis, this wine has a surprising level of depth and grip. It finds its way with integrated tannins, soft layers of caramelized oak and a brightness of fruit and acidity.",90,38.0,California,Virginie Boone,@vboone,Raymond 2012 Reserve Selection Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Raymond
85189,US,"From a fourth-generation farming family, this wine is sourced from the Niebaum-Tonella and Morisoli-Borges vineyards along the Rutherford Bench. It opens with a bouquet of sweetly ripened mango, peach and pear, which continue on the palate. Fierce acidity and a drop of anise form the backdrop of the wine, which finishes somewhat tropical.",90,29.0,California,Virginie Boone,@vboone,S.R. Tonella 2014 Sauvignon Blanc (Rutherford),Sauvignon Blanc,S.R. Tonella
85190,US,"Mouthcoating, this is a full-bodied wine with small amounts of Merlot and Cabernet Franc. Tar, leather, cedar and black cherry stand out as characteristics, with added weight from the heavier, darker elements of chocolate and oak. Drink now through 2022.",90,64.0,California,Virginie Boone,@vboone,Salvestrin 2012 Salvestrin Estate Vineyard Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Salvestrin
85191,US,"Wild berries, from elderberry to salmonberry to mountain strawberries, are in play in this wine. The underpinning scents suggest earth and wet cement, while in the finish a strong flavor of breakfast tea lingers. This is an interesting addition to the Sineann lineup.",90,36.0,Oregon,Paul Gregutt,@paulgwine ,Sineann 2014 Russell-Grooters Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Sineann
85192,US,"This bright and spicy wine refreshes with palate-cleansing minerality. The crisp, fresh-cut pear and apple fruit carries hints of orange liqueur. Drink this while it's in the bloom of youth.",90,16.0,Oregon,Paul Gregutt,@paulgwine ,Sweet Cheeks 2014 Pinot Gris (Willamette Valley),Pinot Gris,Sweet Cheeks
85234,US,"There's brilliant black cherry and blackberry richness on the nose of this blend of 10 grapes, from Syrah to Malbec to Touriga Nacional, as well as a mineral character of cold asphalt, clay and mud. The palate offers earthy and delicious flavors, with dried strawberry and olallieberry as well as black pepper and cappuccino.",90,62.0,California,Matt Kettmann,@mattkettmann,Proulx 2013 Jack Barrett Red (Paso Robles),Red Blend,Proulx
85237,US,"This bubbly from Schramsberg has a deepish, salmon color and peach, melon and ginger cookie aromas. It combines crispness and finesse, fruit with complexity. Hints of almond, walnut and subtle spices come out on the lingering finish.",90,28.0,California,Jim Gordon,@gordone_cellars,Mirabelle NV Brut Rose Sparkling (California),Sparkling Blend,Mirabelle
85244,US,"A rich umami character of smoked beef, freshly laid pavement and cola mixes with sour cherries and a light raspberry element on the nose of this wine. Flavors are quite dynamic, with a punchy strawberry-raspberry-sour cherry juice picking up complexity from a eucalyptus bite.",90,25.0,California,Matt Kettmann,@mattkettmann,Sextant 2013 Pinot Noir (Santa Lucia Highlands),Pinot Noir,Sextant
85245,US,"This powerful wine that also holds 5% Cabernet Franc shyly packs a punch. At first it comes off as elegant, soft and highly approachable. Faint notions of blackberry and black cherry are highlighted amidst a concentrated, tannic build.",90,90.0,California,Virginie Boone,@vboone,Signorello 2012 Estate Grown and Bottled Unfiltered Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Signorello
85248,France,"Saint-Maur's vines are planted close to Saint-Tropez in one of the warmest sectors of the Provence coast. This wine is firm and tannic, with signs of bitter coffee from extraction that are balanced by the ripe black-currant flavors. It will develop well; drink after 2017.",90,25.0,Provence,Roger Voss,@vossroger,Château Saint-Maur 2013 Red (Côtes de Provence),Provence red blend,Château Saint-Maur
85249,US,"A light, straightforward and focused wine, 100% varietal, this offers cranberry, mushroom and a complexity of tannin and oak. High acidity dances around fresh layers of strawberry and raspberry on the palate, with a grippy, cinnamon-spiced finish.",90,38.0,California,Virginie Boone,@vboone,Cuvaison 2013 Estate Grown Pinot Noir (Napa Valley),Pinot Noir,Cuvaison
85250,US,"The inaugural release of this producer's GSM blend is comprised of 55% Grenache, 35% Syrah and 12% Mourvèdre. Jammy and dense in blackberry, espresso and leather, it offers a mouthful of flavor and intensity without ever becoming over the top.",90,42.0,California,Virginie Boone,@vboone,Davis Family 2012 Throne G-S-M (Russian River Valley),G-S-M,Davis Family
85251,France,"Tender, freshly cut yellow pears and yellow plums play on a rounded, rich and almost oily palate that remains dry but expresses richness in terms of texture and mouthfeel, edged with earthy and nutty notes. This finishes exquisitely clean.",90,16.0,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Bott-Geyl 2012 Les Élements Pinot Gris (Alsace),Pinot Gris,Domaine Bott-Geyl
85252,France,"Beautiful and appetizing notes of Cox Orange Pippin apples shine. The palate is zesty, sprightly and textured, and shows pure fruit—a combination that spells ideal refreshment. The lemony fillip on the finish is lip-smacking.",90,17.0,Alsace,Anne Krebiehl MW,@AnneInVino,Dopff & Irion 2014 Riesling (Alsace),Riesling,Dopff & Irion
85282,US,"Light cream, peach and malolactic aromas lead to a medium-bodied nuanced palate. It has plenty of subtleties to explore, with a finish that stretches out.",90,38.0,Washington,Sean P. Sullivan,@wawinereport,JM Cellars 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,JM Cellars
85283,US,"Bright minerality wraps around a taste of wet stone and unctuous, buttery apple in this silky smooth and well-integrated wine. Lemon rind and brioche each make strong companions to the concentrated richness and ripeness of the finish.",90,42.0,California,Virginie Boone,@vboone,Mi Sueño 2013 Chardonnay (Los Carneros),Chardonnay,Mi Sueño
85284,France,"This is a beautifully aromatic wine with toast and yellow fruits mingling easily together. It is ripe while also light to taste, a crisp burst of acidity giving the wine a fine lift. Yellow fruits, citrus and toast play together in this attractive wine that is ready to drink.",90,33.0,Burgundy,Roger Voss,@vossroger,Olivier Leflaive 2014 Oncle Vincent  (Bourgogne),Chardonnay,Olivier Leflaive
85285,Georgia,"Aromas of black currant and cherry set the stage for flavors of cassis, leather, juniper berry and dark chocolate. There is a nice balance of fruit and deeper savory notes, and velvety tannins make way for a splash of cherry on the lingering finish.",90,28.0,Kakheti,Mike DeSimone,@worldwineguys,Orgo 2015 Saperavi (Kakheti),Saperavi,Orgo
85286,France,"The wine is soft and rounded. With creamed apple and pear flavors over touches of wood, it is a toasty wine in a generous style that has made Meursault popular for many years. Fruity and ripe, the wine will be ready to drink from 2018.",90,63.0,Burgundy,Roger Voss,@vossroger,Roche de Bellene 2014 Vieilles Vignes  (Meursault),Chardonnay,Roche de Bellene
85287,France,"This is a rich smooth wine, full of delicious citrus and apple-fruit flavors. It is ripe, still with signs of wood aging that add a juicy character to the wine. It is developing well and should be ready to drink from 2018.",90,75.0,Burgundy,Roger Voss,@vossroger,Roux Père et Fils 2014 Champlots Premier Cru  (Saint-Aubin),Chardonnay,Roux Père et Fils
85288,Italy,"Aromas of raisin, purple flower, stewed plum, Asian spice and a hint of resin lead the nose on this dense red. The big monolithic palate doles out mature black plum, raisin, blackberry extract and licorice alongside velvety tannins. A confectionery note closes the finish.",90,64.0,Veneto,Kerin O’Keefe,@kerinokeefe,San Rustico 2010 Gaso  (Amarone della Valpolicella Classico),Red Blend,San Rustico
85289,US,"Herb, pencil lead, plum and vanilla aromas are followed by smooth, soft blue-fruit flavors. It shows a beautiful sense of balance.",90,41.0,Washington,Sean P. Sullivan,@wawinereport,Northstar 2013 Merlot (Columbia Valley (WA)),Merlot,Northstar
85290,US,"Dark, rich and full bodied, this wine has great structure and bold, tasty flavors like boysenberry and blackberry. It feels firm and tannic on the palate, but without overdoing it. Generous fruit flavors linger on the finish.",90,14.0,California,Jim Gordon,@gordone_cellars,Parducci 2013 Small Lot Blend Petite Sirah (Mendocino County),Petite Sirah,Parducci
85291,Italy,"This opens with aromas of mature black currant and dark baking spice. The full-bodied palate offers mature black cherry, ripe blackberry, licorice and pipe tobacco alongside a backbone of firm, fine-grained tannins. Drink 2017 through 2022.",90,40.0,Veneto,Kerin O’Keefe,@kerinokeefe,Pasqua 2012 Famiglia Pasqua  (Amarone della Valpolicella),Red Blend,Pasqua
85300,US,"Estate-grown Roussanne (63%), Viognier (32%) and Chardonnay (5%) are blended together in a medium-bodied coming-together of floral, light aromatics and supportive acidity. Fruity highlights run the gamut of apricot, peach and lime, with a tiny touch of sweetness on the finish.",90,36.0,California,Virginie Boone,@vboone,Westwood 2015 Annadel Gap Vineyard White (Sonoma Valley),White Blend,Westwood
85382,New Zealand,"Intensely perfumed, this is herbal but ripe, too, with fig and melon fruit aromas. It's boldly flavored in the same vein, with the only quibble being that it finishes a little short. A solid effort.",87,18.0,Nelson,Joe Czerwinski,@JoeCz,Seifried 2007 Sauvignon Blanc (Nelson),Sauvignon Blanc,Seifried
85383,South Africa,"The spirit of South Africa's Swartland region shines through on this rustic but fun Shiraz. On the nose, red fruit and a spicy edge lead into big flavors of spice, smoke and fruit. Sturdy tannins give the wine an ageworthy appeal. Pair with grilled meat and heartier flavors for extra enjoyment.",87,19.0,Swartland,Susan Kostrzewa,@suskostrzewa,Spice Route 2005 Shiraz (Swartland),Shiraz,Spice Route
85414,France,"This has certainly benefited from some bottle age, bringing out the nutty, lightly toasty character of older Chardonnay, while still preserving great white fruit flavors.",90,50.0,Champagne,Roger Voss,@vossroger,Pommery NV Summertime Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Pommery
85479,France,"This top wine from Lamartine is a fine, solid expression of the firm nature of young Malbec. It has dark, dense black fruits layered behind the dry, tight tannins. With this concentration, this is a wine that needs to age. Leave until 2020.",92,23.0,Southwest France,Roger Voss,@vossroger,Château Lamartine 2012 Expression Malbec (Cahors),Malbec,Château Lamartine
85480,France,"A selection from parcels of vines in the La Rochelle section of Moulin à Vent, this wine comes from one of top recent vintages in Beaujolais. It is rich and packed with mature fruit. There are acidity, integrated tannins and secondary flavors of juicy acidity and smokiness. It is ready to drink. Owner Jean-Jacqus Parinet left the IT world for wine and bought Château Moulin-à-Vent in 2009 and Bief in 2012.",92,35.0,Beaujolais,Roger Voss,@vossroger,Domaine de la Tour du Bief 2010  Moulin-à-Vent,Gamay,Domaine de la Tour du Bief
85481,US,"From a section of the rocky vineyard planted to the Martini clone, a thick-skinned grape, Deer Camp is full bodied, densely concentrated and marked by a streak of spiciness throughout. It's perfumed with roses and forest floor, while it presents a texture that is seductively velvety and smooth.",92,75.0,California,Virginie Boone,@vboone,Etude 2013 Deer Camp Vineyard Grace Benoist Ranch Estate Grown Pinot Noir (Carneros),Pinot Noir,Etude
85482,US,"Distinct aromas of sour plum and dried pomegranate meet with damp tobacco, forest floor, green olive and Greek spice on the nose of this clonal study. It's herbal on the palate, with oregano, marjoram and green cardamom notes, alongside cranberry and red cherry fruit in the midpalate. Altogether, it's a light, bright and highly seasoned wine.",92,55.0,California,Matt Kettmann,@mattkettmann,Fess Parker 2013 Clone 115 Pinot Noir (Sta. Rita Hills),Pinot Noir,Fess Parker
85483,Spain,"This small-production Rioja (under 200 cases) is focused, minerally and lightly charred up front, with blackberry, cassis and vanilla aromas. A flush, bright not-too-heavy palate offers lively black cherry and blackberry flavors accented by creamy vanilla and char. A medium-long, elegant finish with healthy acidity indicates that this will age nicely through about 2023.",92,78.0,Northern Spain,Michael Schachner,@wineschach,Finca La Emperatriz 2011 Parcela No 1  (Rioja),Tempranillo,Finca La Emperatriz
85484,US,"Fresh, enticing fruit aromas and a smooth yet firm texture make this full-bodied wine hard to resist. Toasted oak, ripe berries and cherries gush from the glass, and light tannins add grip to the generous mouthfeel.",92,39.0,California,Jim Gordon,@gordone_cellars,Baiocchi Wines 2013 Sharon's Vineyard Grenache (Fair Play),Grenache,Baiocchi Wines
85485,US,"Made with only 30% whole-cluster, this bottling by Bradley Brown allows lusher red-cherry fruit to show on the nose, alongside slate, mint and sandalwood notes. Those same red-cherry elements meet with cranberry on the palate, growing more complex as layers of graphite, bay leaf, pine needle and turned forest floor arise.",92,44.0,California,Matt Kettmann,@mattkettmann,Big Basin 2013 Coastview Vineyard Pinot Noir (Monterey County),Pinot Noir,Big Basin
85486,US,"Cinnamon and spearmint elements give depth to the pinpoint, laser-sharp fruit notes of cherry blossom and strawberry on this bottling. Strong herbal flavors of thyme and marjoram and spices of green cardamom of peppercorn hit the palate right away, seasoning cranberry and pomegranate fruit, and finishing on a slate minerality.",92,55.0,California,Matt Kettmann,@mattkettmann,Black Kite 2013 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Black Kite
85488,US,"In a strong lineup of beautifully balanced Pinots, this cuvée shows just a touch more stem and leaf, and keeps the fruit on the tart end of the berry and cherry spectrum. The tannins remain a bit stiff and unyielding, but overall the punch and weight suggest that this is a wine bound for further development and improvement in bottle. Drink 2018–2025.",92,58.0,Oregon,Paul Gregutt,@paulgwine ,J. Christopher 2013 Sandra Adele Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,J. Christopher
85489,US,"Concentrated, delicious fruit flavors and subtle spiciness make a great combination in this harmonious and full-bodied wine. There is no obvious oak character, but it tastes like a gently barrel-fermented wine that developed hints of cream, nutmeg and honey along with a river of ripe pear and peach.",92,42.0,California,Jim Gordon,@gordone_cellars,Kanzler 2013 Chardonnay (Russian River Valley),Chardonnay,Kanzler
85490,US,"The winery's annual 100% new French-oak bottling, this is rich and smoky, with heavily clove-laced blackberry and blueberry juice, dark strawberry, nutmeg and gingerbread spice on the nose. Similar flavors show on the palate, from mace to dried ginger. A bright red-cherry and cranberry character lifts the sip, as does the juniper and forest-floor finish.",92,65.0,California,Matt Kettmann,@mattkettmann,Kings Mountain 2012 Pinot Noir (Santa Cruz Mountains),Pinot Noir,Kings Mountain
85503,France,"A rich, ripe wine, striated with yellow fruits, acidity and spice from wood. It is warm and generous, while not losing sight of its origins in the streak of minerality. A fine, attractive wine that could do with another year's aging.",90,28.0,Burgundy,Roger Voss,@vossroger,Evening Land 2011  Pouilly-Fuissé,Chardonnay,Evening Land
85508,US,"Another solid effort from this young winery, the Cabernet is augmented with a 12% mix of Merlot, Petit Verdot and Cab Franc. Compact and clean, it puts on a display of well-structured cranberry, cherry and cassis fruit, lightly tasting of savory earth, pencil lead and bark.",90,25.0,Washington,Paul Gregutt,@paulgwine ,Elevation Cellars 2010 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Elevation Cellars
